vehicle_id,timestamp,latitude,longitude,speed,heading
WLD001,2025-01-15T06:00:00Z,1.4350,103.7850,40.0,45
WLD001,2025-01-15T06:01:00Z,1.4370,103.7880,38.0,45
WLD001,2025-01-15T06:02:00Z,1.4390,103.7910,35.0,45
WLD002,2025-01-15T06:00:00Z,1.4480,103.7650,35.0,45
WLD002,2025-01-15T06:01:00Z,1.4500,103.7700,32.0,45
WLD002,2025-01-15T06:02:00Z,1.4520,103.7750,30.0,45
WLD003,2025-01-15T06:03:00Z,1.4350,103.7850,25.0,45
WLD003,2025-01-15T06:04:00Z,1.4370,103.7880,22.0,45
WLD003,2025-01-15T06:05:00Z,1.4390,103.7910,20.0,45
WLD004,2025-01-15T06:03:00Z,1.4480,103.7650,20.0,45
WLD004,2025-01-15T06:04:00Z,1.4500,103.7700,18.0,45
WLD004,2025-01-15T06:05:00Z,1.4520,103.7750,15.0,45
WLD005,2025-01-15T06:06:00Z,1.4350,103.7850,15.0,45
WLD005,2025-01-15T06:07:00Z,1.4370,103.7880,12.0,45
WLD005,2025-01-15T06:08:00Z,1.4390,103.7910,10.0,45
WLD006,2025-01-15T06:06:00Z,1.4480,103.7650,10.0,45
WLD006,2025-01-15T06:07:00Z,1.4500,103.7700,8.0,45
WLD006,2025-01-15T06:08:00Z,1.4520,103.7750,6.0,45
WLD007,2025-01-15T06:09:00Z,1.4350,103.7850,8.0,45
WLD007,2025-01-15T06:10:00Z,1.4370,103.7880,6.0,45
WLD007,2025-01-15T06:11:00Z,1.4390,103.7910,5.0,45
WLD008,2025-01-15T06:09:00Z,1.4480,103.7650,5.0,45
WLD008,2025-01-15T06:10:00Z,1.4500,103.7700,4.0,45
WLD008,2025-01-15T06:11:00Z,1.4520,103.7750,3.0,45
WLD009,2025-01-15T06:12:00Z,1.4350,103.7850,5.0,45
WLD009,2025-01-15T06:13:00Z,1.4370,103.7880,4.0,45
WLD009,2025-01-15T06:14:00Z,1.4390,103.7910,3.0,45
WLD010,2025-01-15T06:12:00Z,1.4480,103.7650,2.0,45
WLD010,2025-01-15T06:13:00Z,1.4500,103.7700,1.5,45
WLD010,2025-01-15T06:14:00Z,1.4520,103.7750,1.0,45
WLD011,2025-01-15T06:00:00Z,1.4520,103.7750,30.0,180
WLD011,2025-01-15T06:01:00Z,1.4450,103.7800,28.0,180
WLD011,2025-01-15T06:02:00Z,1.4350,103.7850,25.0,180
WLD012,2025-01-15T06:15:00Z,1.4350,103.7850,3.0,45
WLD012,2025-01-15T06:16:00Z,1.4370,103.7880,2.0,45
WLD012,2025-01-15T06:17:00Z,1.4390,103.7910,1.5,45
WLD013,2025-01-15T06:15:00Z,1.4480,103.7650,0.5,45
WLD013,2025-01-15T06:16:00Z,1.4500,103.7700,0.3,45
WLD013,2025-01-15T06:17:00Z,1.4520,103.7750,0.2,45
WLD014,2025-01-15T06:06:00Z,1.4520,103.7750,18.0,180
WLD014,2025-01-15T06:07:00Z,1.4450,103.7800,15.0,180
WLD014,2025-01-15T06:08:00Z,1.4350,103.7850,12.0,180
WLD015,2025-01-15T06:18:00Z,1.4350,103.7850,1.5,45
WLD015,2025-01-15T06:19:00Z,1.4370,103.7880,1.0,45
WLD015,2025-01-15T06:20:00Z,1.4390,103.7910,0.5,45
WLD016,2025-01-15T06:00:00Z,1.4200,103.8200,50.0,270
WLD016,2025-01-15T06:01:00Z,1.4250,103.8100,48.0,315
WLD016,2025-01-15T06:02:00Z,1.4300,103.8000,45.0,315
WLD017,2025-01-15T06:12:00Z,1.4520,103.7750,8.0,180
WLD017,2025-01-15T06:13:00Z,1.4450,103.7800,6.0,180
WLD017,2025-01-15T06:14:00Z,1.4350,103.7850,5.0,180
WLD018,2025-01-15T06:18:00Z,1.4480,103.7650,0.2,45
WLD018,2025-01-15T06:19:00Z,1.4500,103.7700,0.1,45
WLD018,2025-01-15T06:20:00Z,1.4520,103.7750,0.1,45
WLD019,2025-01-15T06:06:00Z,1.4200,103.8200,38.0,270
WLD019,2025-01-15T06:07:00Z,1.4250,103.8100,35.0,315
WLD019,2025-01-15T06:08:00Z,1.4300,103.8000,32.0,315
WLD020,2025-01-15T06:18:00Z,1.4520,103.7750,4.0,180
WLD020,2025-01-15T06:19:00Z,1.4450,103.7800,3.0,180
WLD020,2025-01-15T06:20:00Z,1.4350,103.7850,2.0,180
WLD021,2025-01-15T06:21:00Z,1.4350,103.7850,0.5,45
WLD021,2025-01-15T06:22:00Z,1.4370,103.7880,0.3,45
WLD021,2025-01-15T06:23:00Z,1.4390,103.7910,0.2,45
WLD022,2025-01-15T06:12:00Z,1.4200,103.8200,25.0,270
WLD022,2025-01-15T06:13:00Z,1.4250,103.8100,22.0,315
WLD022,2025-01-15T06:14:00Z,1.4300,103.8000,20.0,315
