vehicle_id,timestamp,latitude,longitude,speed,heading
CBD001,2025-01-15T08:00:00Z,1.2760,103.8460,45.0,45
CBD001,2025-01-15T08:01:00Z,1.2790,103.8480,42.0,45
CBD001,2025-01-15T08:02:00Z,1.2840,103.8510,38.0,45
CBD001,2025-01-15T08:03:00Z,1.2845,103.8525,35.0,90
CBD002,2025-01-15T08:00:00Z,1.2750,103.8440,50.0,45
CBD002,2025-01-15T08:01:00Z,1.2760,103.8460,48.0,45
CBD002,2025-01-15T08:02:00Z,1.2790,103.8480,45.0,45
CBD002,2025-01-15T08:03:00Z,1.2810,103.8500,40.0,45
CBD003,2025-01-15T08:00:00Z,1.2840,103.8510,15.0,90
CBD003,2025-01-15T08:01:00Z,1.2845,103.8525,12.0,90
CBD003,2025-01-15T08:02:00Z,1.2850,103.8540,10.0,90
CBD003,2025-01-15T08:03:00Z,1.2820,103.8570,8.0,135
CBD004,2025-01-15T08:03:00Z,1.2760,103.8460,12.0,45
CBD004,2025-01-15T08:04:00Z,1.2790,103.8480,10.0,45
CBD004,2025-01-15T08:05:00Z,1.2840,103.8510,8.0,45
CBD004,2025-01-15T08:06:00Z,1.2845,103.8525,6.0,90
CBD005,2025-01-15T08:06:00Z,1.2760,103.8460,8.0,45
CBD005,2025-01-15T08:07:00Z,1.2790,103.8480,6.0,45
CBD005,2025-01-15T08:08:00Z,1.2840,103.8510,4.0,45
CBD005,2025-01-15T08:09:00Z,1.2845,103.8525,3.0,90
CBD006,2025-01-15T08:00:00Z,1.2850,103.8540,40.0,135
CBD006,2025-01-15T08:01:00Z,1.2870,103.8530,38.0,0
CBD006,2025-01-15T08:02:00Z,1.2890,103.8520,35.0,315
CBD006,2025-01-15T08:03:00Z,1.2900,103.8540,32.0,90
CBD007,2025-01-15T08:09:00Z,1.2760,103.8460,5.0,45
CBD007,2025-01-15T08:10:00Z,1.2790,103.8480,4.0,45
CBD007,2025-01-15T08:11:00Z,1.2840,103.8510,3.0,45
CBD007,2025-01-15T08:12:00Z,1.2845,103.8525,2.0,90
