vehicle_id,timestamp,latitude,longitude,speed,heading
V001,2025-01-15T08:00:00Z,1.3048,103.8281,45.5,90
V001,2025-01-15T08:01:00Z,1.3055,103.8320,42.0,90
V001,2025-01-15T08:02:00Z,1.3062,103.8360,38.5,90
V001,2025-01-15T08:03:00Z,1.3070,103.8380,35.0,90
V002,2025-01-15T08:00:00Z,1.3040,103.8240,50.0,85
V002,2025-01-15T08:01:00Z,1.3044,103.8260,48.0,85
V002,2025-01-15T08:02:00Z,1.3048,103.8281,45.0,85
V002,2025-01-15T08:03:00Z,1.3055,103.8320,43.0,85
V003,2025-01-15T08:00:00Z,1.3055,103.8320,15.0,180
V003,2025-01-15T08:01:00Z,1.3080,103.8310,12.5,180
V003,2025-01-15T08:02:00Z,1.3100,103.8305,10.0,180
V003,2025-01-15T08:03:00Z,1.3120,103.8315,8.5,180
V004,2025-01-15T08:00:00Z,1.3062,103.8360,55.0,90
V004,2025-01-15T08:01:00Z,1.3070,103.8380,52.0,90
V004,2025-01-15T08:02:00Z,1.3075,103.8400,50.0,90
V004,2025-01-15T08:03:00Z,1.3080,103.8420,48.0,90
V005,2025-01-15T08:03:00Z,1.3048,103.8281,20.0,90
V005,2025-01-15T08:04:00Z,1.3055,103.8320,18.5,90
V005,2025-01-15T08:05:00Z,1.3062,103.8360,15.0,90
V005,2025-01-15T08:06:00Z,1.3070,103.8380,12.5,90
V006,2025-01-15T08:03:00Z,1.3100,103.8305,8.0,0
V006,2025-01-15T08:04:00Z,1.3120,103.8315,7.5,0
V006,2025-01-15T08:05:00Z,1.3140,103.8325,6.0,0
V006,2025-01-15T08:06:00Z,1.3150,103.8340,5.5,0
V007,2025-01-15T08:06:00Z,1.3048,103.8281,10.0,90
V007,2025-01-15T08:07:00Z,1.3055,103.8320,8.5,90
V007,2025-01-15T08:08:00Z,1.3062,103.8360,5.0,90
V007,2025-01-15T08:09:00Z,1.3070,103.8380,3.5,90
V008,2025-01-15T08:06:00Z,1.3140,103.8325,45.0,45
V008,2025-01-15T08:07:00Z,1.3150,103.8340,43.0,45
V008,2025-01-15T08:08:00Z,1.3155,103.8355,40.0,45
V008,2025-01-15T08:09:00Z,1.3165,103.8370,38.0,45
V009,2025-01-15T08:09:00Z,1.3048,103.8281,5.0,90
V009,2025-01-15T08:10:00Z,1.3055,103.8320,4.5,90
V009,2025-01-15T08:11:00Z,1.3062,103.8360,3.0,90
V009,2025-01-15T08:12:00Z,1.3070,103.8380,2.5,90
V010,2025-01-15T08:09:00Z,1.3155,103.8355,50.0,45
V010,2025-01-15T08:10:00Z,1.3165,103.8370,48.0,45
V010,2025-01-15T08:11:00Z,1.3172,103.8385,45.0,45
V010,2025-01-15T08:12:00Z,1.3180,103.8400,42.0,45
V011,2025-01-15T08:12:00Z,1.3200,103.8200,35.0,90
V011,2025-01-15T08:13:00Z,1.3210,103.8220,32.0,90
V011,2025-01-15T08:14:00Z,1.3220,103.8240,30.0,90
V011,2025-01-15T08:15:00Z,1.3230,103.8260,28.0,90
V012,2025-01-15T08:12:00Z,1.3180,103.8260,40.0,90
V012,2025-01-15T08:13:00Z,1.3185,103.8280,38.0,90
V012,2025-01-15T08:14:00Z,1.3188,103.8300,35.0,90
V012,2025-01-15T08:15:00Z,1.3190,103.8320,33.0,90
