vehicle_id,timestamp,latitude,longitude,speed,heading
ORC001,2025-01-15T10:00:00Z,1.3020,103.8200,40.0,45
ORC001,2025-01-15T10:01:00Z,1.3045,103.8280,38.0,45
ORC001,2025-01-15T10:02:00Z,1.3060,103.8360,35.0,45
ORC001,2025-01-15T10:03:00Z,1.3070,103.8420,30.0,45
ORC002,2025-01-15T10:00:00Z,1.2980,103.8150,45.0,45
ORC002,2025-01-15T10:01:00Z,1.3000,103.8175,42.0,45
ORC002,2025-01-15T10:02:00Z,1.3020,103.8200,40.0,45
ORC002,2025-01-15T10:03:00Z,1.3045,103.8280,38.0,45
ORC003,2025-01-15T10:03:00Z,1.3020,103.8200,25.0,45
ORC003,2025-01-15T10:04:00Z,1.3045,103.8280,22.0,45
ORC003,2025-01-15T10:05:00Z,1.3060,103.8360,18.0,45
ORC003,2025-01-15T10:06:00Z,1.3070,103.8420,15.0,45
ORC004,2025-01-15T10:06:00Z,1.3020,103.8200,15.0,45
ORC004,2025-01-15T10:07:00Z,1.3045,103.8280,12.0,45
ORC004,2025-01-15T10:08:00Z,1.3060,103.8360,10.0,45
ORC004,2025-01-15T10:09:00Z,1.3070,103.8420,8.0,45
ORC005,2025-01-15T10:00:00Z,1.3050,103.8310,35.0,0
ORC005,2025-01-15T10:01:00Z,1.3080,103.8305,32.0,0
ORC005,2025-01-15T10:02:00Z,1.3110,103.8300,30.0,0
ORC005,2025-01-15T10:03:00Z,1.3140,103.8295,28.0,0
ORC006,2025-01-15T10:09:00Z,1.3020,103.8200,8.0,45
ORC006,2025-01-15T10:10:00Z,1.3045,103.8280,6.0,45
ORC006,2025-01-15T10:11:00Z,1.3060,103.8360,5.0,45
ORC006,2025-01-15T10:12:00Z,1.3070,103.8420,4.0,45
ORC007,2025-01-15T10:06:00Z,1.3050,103.8310,20.0,0
ORC007,2025-01-15T10:07:00Z,1.3080,103.8305,18.0,0
ORC007,2025-01-15T10:08:00Z,1.3110,103.8300,15.0,0
ORC007,2025-01-15T10:09:00Z,1.3140,103.8295,12.0,0
ORC008,2025-01-15T10:12:00Z,1.3020,103.8200,5.0,45
ORC008,2025-01-15T10:13:00Z,1.3045,103.8280,4.0,45
ORC008,2025-01-15T10:14:00Z,1.3060,103.8360,3.0,45
ORC008,2025-01-15T10:15:00Z,1.3070,103.8420,2.0,45
ORC009,2025-01-15T10:09:00Z,1.3050,103.8310,12.0,0
ORC009,2025-01-15T10:10:00Z,1.3080,103.8305,10.0,0
ORC009,2025-01-15T10:11:00Z,1.3110,103.8300,8.0,0
ORC009,2025-01-15T10:12:00Z,1.3140,103.8295,6.0,0
ORC010,2025-01-15T10:15:00Z,1.3020,103.8200,2.0,45
ORC010,2025-01-15T10:16:00Z,1.3045,103.8280,1.5,45
ORC010,2025-01-15T10:17:00Z,1.3060,103.8360,1.0,45
ORC010,2025-01-15T10:18:00Z,1.3070,103.8420,0.5,45
ORC011,2025-01-15T10:00:00Z,1.3140,103.8295,40.0,45
ORC011,2025-01-15T10:01:00Z,1.3160,103.8340,38.0,45
ORC011,2025-01-15T10:02:00Z,1.3180,103.8400,35.0,45
ORC012,2025-01-15T10:12:00Z,1.3050,103.8310,6.0,0
ORC012,2025-01-15T10:13:00Z,1.3080,103.8305,5.0,0
ORC012,2025-01-15T10:14:00Z,1.3110,103.8300,4.0,0
ORC012,2025-01-15T10:15:00Z,1.3140,103.8295,3.0,0
ORC013,2025-01-15T10:18:00Z,1.3020,103.8200,0.5,45
ORC013,2025-01-15T10:19:00Z,1.3045,103.8280,0.3,45
ORC013,2025-01-15T10:20:00Z,1.3060,103.8360,0.2,45
ORC013,2025-01-15T10:21:00Z,1.3070,103.8420,0.1,45
ORC014,2025-01-15T10:06:00Z,1.3140,103.8295,30.0,45
ORC014,2025-01-15T10:07:00Z,1.3160,103.8340,28.0,45
ORC014,2025-01-15T10:08:00Z,1.3180,103.8400,25.0,45
ORC015,2025-01-15T10:15:00Z,1.3050,103.8310,3.0,0
ORC015,2025-01-15T10:16:00Z,1.3080,103.8305,2.0,0
