vehicle_id,timestamp,latitude,longitude,speed,heading
TMP001,2025-01-15T17:00:00Z,1.3530,103.9400,45.0,90
TMP001,2025-01-15T17:01:00Z,1.3540,103.9450,42.0,90
TMP001,2025-01-15T17:02:00Z,1.3550,103.9500,40.0,90
TMP001,2025-01-15T17:03:00Z,1.3580,103.9520,38.0,0
TMP002,2025-01-15T17:00:00Z,1.3340,103.9300,50.0,45
TMP002,2025-01-15T17:01:00Z,1.3380,103.9350,48.0,45
TMP002,2025-01-15T17:02:00Z,1.3420,103.9400,45.0,45
TMP003,2025-01-15T17:03:00Z,1.3530,103.9400,30.0,90
TMP003,2025-01-15T17:04:00Z,1.3540,103.9450,28.0,90
TMP003,2025-01-15T17:05:00Z,1.3550,103.9500,25.0,90
TMP003,2025-01-15T17:06:00Z,1.3580,103.9520,22.0,0
TMP004,2025-01-15T17:06:00Z,1.3530,103.9400,18.0,90
TMP004,2025-01-15T17:07:00Z,1.3540,103.9450,15.0,90
TMP004,2025-01-15T17:08:00Z,1.3550,103.9500,12.0,90
TMP004,2025-01-15T17:09:00Z,1.3580,103.9520,10.0,0
TMP005,2025-01-15T17:03:00Z,1.3340,103.9300,35.0,45
TMP005,2025-01-15T17:04:00Z,1.3380,103.9350,32.0,45
TMP005,2025-01-15T17:05:00Z,1.3420,103.9400,30.0,45
TMP006,2025-01-15T17:09:00Z,1.3530,103.9400,10.0,90
TMP006,2025-01-15T17:10:00Z,1.3540,103.9450,8.0,90
TMP006,2025-01-15T17:11:00Z,1.3550,103.9500,6.0,90
TMP006,2025-01-15T17:12:00Z,1.3580,103.9520,5.0,0
TMP007,2025-01-15T17:06:00Z,1.3340,103.9300,25.0,45
TMP007,2025-01-15T17:07:00Z,1.3380,103.9350,22.0,45
TMP007,2025-01-15T17:08:00Z,1.3420,103.9400,20.0,45
TMP008,2025-01-15T17:12:00Z,1.3530,103.9400,5.0,90
TMP008,2025-01-15T17:13:00Z,1.3540,103.9450,4.0,90
TMP008,2025-01-15T17:14:00Z,1.3550,103.9500,3.0,90
TMP008,2025-01-15T17:15:00Z,1.3580,103.9520,2.0,0
TMP009,2025-01-15T17:09:00Z,1.3340,103.9300,18.0,45
